test_id,severity,title,user_role,scenario,preconditions,test_data,steps,expected_result,actual_result,evidence,assigned_owner,target_resolution_date,retest_result,final_status
AUD-H-009,High,Verified-carrier claims lack production official-source integration,Client/Provider/Compliance,Verify CPC/vehicle authority,Production official source required,None,"Inspect claims and integrations","Current auditable LTFRB verification","No live official-source integration is evidenced",Landing claims readiness docs and LTFRB YVC/CPC sources,Compliance,2026-09-24,NOT RUN,OPEN
AUD-H-010,High,Driver registration CTA is a dead end,Driver,Follows Register as a driver,Deployed landing/provider pages,type=DRIVER,"Click CTA; inspect role options","Driver-specific onboarding","Driver option absent; user told to contact fleet/support",EV-WEB-008,Provider Experience,2026-09-17,NOT RUN,OPEN
AUD-H-011,High,Staff password recovery is inert and page exposes developer setup text,Staff,Use forgot password,Deployed staff page,None,"Click/inspect forgot-password link","Secure recovery workflow","Link is #; localStorage/local backend/test-count details are public",EV-WEB-009,Identity Engineering,2026-09-17,NOT RUN,OPEN
AUD-H-012,High,Final service accepts incomplete locations,Client/Driver safety,Submit island-only route,Local temporary DB,10 kg motorcycle booking,"Call public_booking.submit","Reject missing region province city barangay address/map confirmation","Booking accepted and vehicle marked recommended",EV-PROBE-002,Booking Engineering,2026-09-10,NOT RUN,OPEN
AUD-H-013,High,Document pipeline lacks evidenced binary storage and malware controls,Provider/Compliance/Security,Upload identity/vehicle document,Source review,Metadata-only request,"Inspect forms upload and server route","Authenticated storage type/signature scan quarantine and safe download","Route records supplied metadata; content bytes scanning/storage not evidenced",backend/forms.py:950-965 and server.py:1053,Security/Compliance Engineering,2026-09-24,NOT RUN,OPEN
AUD-H-014,High,No production-equivalent pentest load chaos DR or representative UAT evidence,All roles,Approve release,Production-like environment required,None,"Review readiness and evidence repository","Signed security performance recovery accessibility and moderated UAT results","Evidence absent; static/mobile DOM and local unit tests only",Readiness docs and this audit,Release Management,2026-10-08,NOT RUN,OPEN
AUD-H-015,High,Statutory invoices receipts and payout reconciliation are not proven,Client/Provider/Finance,Complete payment settlement refund,Live provider/accounting required,None,"Follow transaction to invoice/export","Every peso reconciles across all records","Download receipt is demo UI; no live statutory/accounting chain",EV-WEB-007 and BIR sources,Finance Engineering,2026-09-24,NOT RUN,OPEN
AUD-M-001,Medium,Primary action terminology is inconsistent,Visitor/Client,Scan booking CTAs,Deployed pages,None,"Compare header hero dashboard footer","One customer-facing term","Book a Service Book a delivery and other labels coexist",EV-WEB-001/002,Product Design,2026-10-01,NOT RUN,OPEN
AUD-M-002,Medium,Password requirements are inconsistent across roles,Client/Provider/Staff,Review password creation/reset,Source and pages,None,"Compare provider guidance and client reset logic","One approved role-aware policy","Provider guidance says 8 characters while client reset requires 10+",Source review,Identity Engineering,2026-10-01,NOT RUN,OPEN
AUD-M-003,Medium,Business-wallet marketing creates regulatory and trust risk,Corporate Client,Review plan/payment language,Deployed booking page,None,"Inspect corporate-plan copy","Only approved provider/payment terminology","Business wallet is advertised while live payment structure is unapproved",Deployed booking DOM and BSP sources,Legal/Product,2026-10-01,NOT RUN,OPEN
AUD-M-004,Medium,Handling options are not contextually reduced,Client,Choose ordinary cargo,Deployed booking form,General boxes,"Inspect handling controls","Only relevant options shown with explanations","All special-handling options remain visible",EV-WEB-002,Booking Experience,2026-10-01,NOT RUN,OPEN
AUD-M-005,Medium,Internal release documents contradict each other,Leadership/Release Management,Determine launch status,Repository docs,None,"Compare RC1 dossier and readiness assessment","One signed source of truth","One says go-live ready with conditions; another says not production-launch-ready",docs/RC1_GO_NO_GO_DOSSIER.md and docs/administration/PRODUCT_READINESS_AND_MARKETPLACE_GAP_ASSESSMENT.md,Release Management,2026-09-17,NOT RUN,OPEN

